SET_ISBN_THIRTEEN_NO,SGVL_ISBN_NO,VLM_NM,TITLE_NM,ISBN_ORGT_NO
"9791134814281","9791134856793","9","약사의혼잣말","9791134856793 (9)"
"9791163893585","9791166118807","10","괴롭히지말아요,나가토로양","9791166118807 (10)"
"9791134810764","9791134891046","10","페이트그랜드오더","9791134891046 (10)"
"9791135418426","9791135466854","33","회귀자의그랜드슬램","9791135466854 (33(완결))"
"9791164035052","9791136731890","13","주술회전","9791136731890 (13)"
"9791164035052","9791136732835","14","주술회전","9791136732835 (14)"
"9791164035052","9791136734495","15","주술회전","9791136734495 (15)"
"9791164035052","9791136741585","16","주술회전","9791136741585 (16)"
"9791133499533","9791136273208","10","라디에이션하우스","9791136273208 (10)"
"9791125696421","9791134881009","6","뱀파이어기사","9791134881009 (6)"
"9791164120246","9791136286109","7","쟈히님은기죽지않아","9791136286109 (7)"
"9791134811020","9791134878955","20","꼭두각시서커스","9791134878955 (20)"
"9791134811020","9791134878962","21","꼭두각시서커스","9791134878962 (21)"
"9791134811020","9791134884659","22","꼭두각시서커스","9791134884659 (22)"
"9791134811020","9791134884666","23","꼭두각시서커스","9791134884666 (23)"
"9791134811020","9791134884673","24","꼭두각시서커스","9791134884673 (24)"
"9791164031399","9791136736116","6","크로스더라인","9791136736116 (6)"
"9791164032587","9791136734730","10","약사의혼잣말","9791136734730 (10)"
"9791164032587","9791136744661","11","약사의혼잣말","9791136744661 (11)"
"9788924052084","9788924082593","7","영어회화문장best","9788924082593 (7)"
"9791127843625","9791127860813","5","살천","9791127860813 (5)"
"9791125684688","9791134866082","8","29세독신중견모험가의일상","9791134866082 (8)"
"9791163624172","9791136730787","26","티아라","9791136730787 (26)"
"9791134820268","9791134889401","7","너는봄에눈을뜬다","9791134889401 (7)"
"9791164125616","9791136280589","12","창공의아리아드네","9791136280589 (Vol. 12)"
"9791164125630","9791136280190","6","깨끗하게해주시겠어요","9791136280190 (6)"
"9791164126477","9791136286208","10","모브코의사랑","9791136286208 (10)"
"9791160858259","9791191225853","6","뷰티풀군바리","9791191225853 (6)"
"9791127849870","9791127861698","5","꼬마곰의케이크가게","9791127861698 (5)"
"9791127850067","9791127860332","4","아저씨와고양이","9791127860332 (4)"
"9791127850067","9791127862404","5","아저씨와고양이","9791127862404 (5)"
"9791163895152","9791166114649","10","덤벨몇킬로까지들수있어","9791166114649 (10)"
"9791164034383","9791136743923","10","여성향게임의파멸플래그밖에없는악역영애로환생해버렸다","9791136743923 (10)"
"9791134815783","9791134886943","10","도쿄리벤저스","9791134886943 (10)"
"9791134815783","9791134890841","11","도쿄리벤저스","9791134890841 (11)"
"9788960521995","9791191225891","4","쿠베라","9791191225891 (4)"
"9791131988749","9791138001823","4","니코는괴로워","9791138001823 (4)"
"9791131995600","9791138004824","4","현실주의용사의왕국재건기","9791138004824 (4)"
"9791131995600","9791138005784","5","현실주의용사의왕국재건기","9791138005784 (5)"
"9788924070705","9788924081947","3","패러다임21","9788924081947 (Vol. 3)"
"9791164033805","9791136730596","5","미스터리라하지말지어다","9791136730596 (5)"
"9791164033805","9791136742926","6","미스터리라하지말지어다","9791136742926 (6)"
"9788934996187","9788934989332","8","바둑전쟁신들의게임","9788934989332 (8)"
"9788934996187","9788934909118","9","바둑전쟁신들의게임","9788934909118 (9)"
"9791134824617","9791134887193","10","종말의세라프","9791134887193 (10)"
"9791164128501","9791136276018","10","땀과비누","9791136276018 (10)"
"9791134811006","9791134879495","12","런웨이에서웃어줘","9791134879495 (12)"
"9791164129201","9791136278128","9","절벽위의란","9791136278128 (9)"
"9791164034918","9791136730794","6","언브레이커블마스터","9791136730794 (6)"
"9791164034918","9791136740427","7","언브레이커블마스터","9791136740427 (7)"
"9791163301646","9791134878139","4","나의아빠","9791134878139 (4)"
"9791134808587","9791134882983","15","여친,빌리겠습니다","9791134882983 (15)"
"9791134808587","9791134885267","16","여친,빌리겠습니다","9791134885267 (16)"
"9791134825003","9791134885427","9","추락여고생과폐인교사","9791134885427 (9)"
"9791134824983","9791134885359","12","장미왕의장례행렬","9791134885359 (12)"
"9791134824983","9791134891008","13","장미왕의장례행렬","9791134891008 (13)"
"9791164034765","9791136732934","5","바람의검심","9791136732934 (5)"
"9791164662982","9791138000529","5","이세계삼촌","9791138000529 (5)"
"9791163071365","9791163073611","3","파이디온예수빌리지감사성탄","9791163073611 (3)"
"9791163071365","9791163073581","3","파이디온예수빌리지감사성탄","9791163073581 (3)"
"9791163071365","9791163073550","3","파이디온예수빌리지감사성탄","9791163073550 (3)"
"9791163071365","9791163073529","3","파이디온예수빌리지감사성탄","9791163073529 (3)"
"9791136204387","9791136286055","5","좁은세계의아이덴티티","9791136286055 (5)"
"9788999261473","9788999274701","25","회귀하여90년대톱스타되기","9788999274701 (25(완결))"
"9791136205742","9791136275462","3","이세계약국","9791136275462 (3)"
"9791127851774","9791127860301","4","치유마법의잘못된사용법","9791127860301 (4)"
"9791189320201","9791191363913","5","그녀가공작저로가야했던사정","9791191363913 (5)"
"9791134831707","9791134885465","8","카케구루이트윈","9791134885465 (8)"
"9791134831707","9791134889739","9","카케구루이트윈","9791134889739 (9)"
"9791134824921","9791134879563","9","사랑을모르는우리는","9791134879563 (9)"
